ID,Count
18288,355.692974175683
18289,283.861602293887
18290,240.234347037977
18291,198.49705836009
18292,167.075573880645
18293,149.560198002041
18294,160.817825010267
18295,186.506200171092
18296,214.773526381529
18297,277.534322880504
18298,393.92845186954
18299,436.7213406094
18300,441.348282198407
18301,390.338147467141
18302,417.366565820412
18303,412.094886469002
18304,401.576811600003
18305,410.931830113295
18306,421.045363641179
18307,446.771664552735
18308,429.332140175589
18309,400.736124125497
18310,402.18994457013
18311,392.683223053919
18312,358.358932255024
18313,285.989176316971
18314,242.034929970224
18315,199.984815709492
18316,168.327823737646
18317,150.681168184641
18318,162.023172349167
18319,187.904084715609
18320,216.383277654272
18321,279.614473246399
18322,396.880989072102
18323,439.994615233719
18324,444.656236260352
18325,393.263774942147
18326,420.494774272586
18327,415.183583102898
18328,404.586674102465
18329,414.011809511504
18330,424.201145088843
18331,450.1202674637
18332,432.550031927525
18333,403.739685582599
18334,405.204402571841
18335,395.626427129143
18336,361.024890334364
18337,288.116750340056
18338,243.835512902471
18339,201.472573058893
18340,169.580073594646
18341,151.802138367241
18342,163.228519688067
18343,189.301969260125
18344,217.993028927016
18345,281.694623612293
18346,399.833526274664
18347,443.267889858039
18348,447.964190322298
18349,396.189402417152
18350,423.622982724761
18351,418.272279736794
18352,407.596536604928
18353,417.091788909713
18354,427.356926536507
18355,453.468870374666
18356,435.767923679462
18357,406.7432470397
18358,408.218860573552
18359,398.569631204365
18360,363.690848413705
18361,290.244324363141
18362,245.636095834718
18363,202.960330408295
18364,170.832323451646
18365,152.923108549841
18366,164.433867026967
18367,190.699853804641
18368,219.602780199759
18369,283.774773978187
18370,402.786063477227
18371,446.541164482359
18372,451.272144384243
18373,399.115029892158
18374,426.751191176936
18375,421.36097637069
18376,410.606399107391
18377,420.171768307922
18378,430.512707984171
18379,456.817473285632
18380,438.985815431398
18381,409.746808496802
18382,411.233318575263
18383,401.512835279589
18384,366.356806493045
18385,292.371898386225
18386,247.436678766965
18387,204.448087757697
18388,172.084573308647
18389,154.044078732441
18390,165.639214365867
18391,192.097738349158
18392,221.212531472503
18393,285.854924344081
18394,405.738600679789
18395,449.814439106678
18396,454.580098446188
18397,402.040657367164
18398,429.87939962911
18399,424.449673004587
18400,413.616261609853
18401,423.25174770613
18402,433.668489431835
18403,460.166076196597
18404,442.203707183334
18405,412.750369953904
18406,414.247776576974
18407,404.456039354812
18408,369.022764572386
18409,294.49947240931
18410,249.237261699213
18411,205.935845107098
18412,173.336823165647
18413,155.165048915041
18414,166.844561704767
18415,193.495622893674
18416,222.822282745247
18417,287.935074709976
18418,408.691137882351
18419,453.087713730998
18420,457.888052508134
18421,404.966284842169
18422,433.007608081285
18423,427.538369638483
18424,416.626124112316
18425,426.331727104339
18426,436.824270879499
18427,463.514679107563
18428,445.421598935271
18429,415.753931411005
18430,417.262234578685
18431,407.399243430034
18432,371.688722651726
18433,296.627046432395
18434,251.03784463146
18435,207.4236024565
18436,174.589073022648
18437,156.286019097642
18438,168.049909043667
18439,194.89350743819
18440,224.43203401799
18441,290.01522507587
18442,411.643675084913
18443,456.360988355317
18444,461.196006570079
18445,407.891912317175
18446,436.13581653346
18447,430.627066272379
18448,419.635986614779
18449,429.411706502548
18450,439.980052327163
18451,466.863282018529
18452,448.639490687207
18453,418.757492868107
18454,420.276692580396
18455,410.342447505257
18456,374.354680731066
18457,298.754620455479
18458,252.838427563707
18459,208.911359805901
18460,175.841322879648
18461,157.406989280242
18462,169.255256382567
18463,196.291391982706
18464,226.041785290734
18465,292.095375441764
18466,414.596212287475
18467,459.634262979637
18468,464.503960632024
18469,410.81753979218
18470,439.264024985634
18471,433.715762906275
18472,422.645849117241
18473,432.491685900757
18474,443.135833774827
18475,470.211884929495
18476,451.857382439144
18477,421.761054325209
18478,423.291150582107
18479,413.28565158048
18480,377.020638810407
18481,300.882194478564
18482,254.639010495954
18483,210.399117155303
18484,177.093572736649
18485,158.527959462842
18486,170.460603721467
18487,197.689276527223
18488,227.651536563478
18489,294.175525807658
18490,417.548749490037
18491,462.907537603957
18492,467.81191469397
18493,413.743167267186
18494,442.392233437809
18495,436.804459540171
18496,425.655711619704
18497,435.571665298965
18498,446.291615222491
18499,473.56048784046
18500,455.07527419108
18501,424.76461578231
18502,426.305608583817
18503,416.228855655703
18504,379.686596889747
18505,303.009768501649
18506,256.439593428201
18507,211.886874504705
18508,178.345822593649
18509,159.648929645442
